# BASE
# https://inspirehep.net/literature/1843024
# mass [eV]  g_ap [GeV^-1]
2.7906234806113024e-9  9.63334395455262e-12
2.7906245145282345e-9  9.966177452899847e-12
2.7906255484451674e-9  1.0350489140841335e-11
2.7906265823620995e-9  9.772254357482605e-12
2.7906276162790324e-9  9.7320406834473e-12
2.7906286501959654e-9  1.0324984600443745e-11
2.790629684112898e-9  1.2251972444134349e-11
2.790630718029831e-9  1.2282503104102539e-11
2.790631751946763e-9  1.1030355865427661e-11
2.790632785863696e-9  1.0998615081379665e-11
2.7906338197806284e-9  1.1445665375952535e-11
2.790634853697561e-9  1.057558354568558e-11
2.790635887614494e-9  1.0775775655325326e-11
2.790636921531426e-9  1.1255996598980044e-11
2.790637955448359e-9  1.2070773586702858e-11
2.7906389893652914e-9  1.279905173443236e-11
2.790640023282224e-9  1.2978056357643932e-11
2.790641057199157e-9  1.256853549345576e-11
2.790642091116089e-9  1.0990486914488263e-11
2.790643125033022e-9  9.470509328190458e-12
2.790644158949955e-9  9.523707436165525e-12
2.7906451928668874e-9  1.0084802990924881e-11
2.7906462267838203e-9  9.74194481320296e-12
2.790647260700753e-9  9.437495931977367e-12
2.7906482946176854e-9  1.0294837216638431e-11
2.790649328534618e-9  1.1189130297355043e-11
2.7906503624515504e-9  1.0509401699770756e-11
2.790651396368483e-9  1.0838071286221531e-11
2.790652430285416e-9  1.1228141829653522e-11
2.7906534642023484e-9  1.0780113774678063e-11
2.790654498119281e-9  1.0625558702018825e-11
2.7906555320362134e-9  1.0461158018130752e-11
2.7906565659531464e-9  1.0150527991002945e-11
2.790657599870079e-9  1.035320263367842e-11
2.7906586337870114e-9  1.0033959101170617e-11
2.7906596677039444e-9  1.0004755208821436e-11
2.790660701620877e-9  1.0106080725776204e-11
2.7906617355378094e-9  1.0280957226756145e-11
2.7906627694547423e-9  1.057034948196575e-11
2.790663803371675e-9  1.1157569861914879e-11
2.7906648372886074e-9  1.2509419854661144e-11
2.7906658712055403e-9  1.265664323344451e-11
2.7906669051224724e-9  1.1597169066636219e-11
2.7906679390394054e-9  1.0857131398682827e-11
2.7906689729563374e-9  1.0972554136605204e-11
2.7906700068732704e-9  1.1645737348405076e-11
2.7906710407902033e-9  1.339612027266225e-11
2.7906720747071354e-9  1.555461847522295e-11
2.7906731086240684e-9  1.409010338078318e-11
2.790674142541001e-9  1.19297362438208e-11
2.790675176457934e-9  1.1095513069902407e-11
2.790676210374867e-9  1.1190422649011418e-11
2.790677244291799e-9  1.1343751308403963e-11
2.790678278208732e-9  1.1508844928036096e-11
2.790679312125664e-9  1.1404599409939155e-11
2.790680346042597e-9  1.0840587351782223e-11
2.79068137995953e-9  1.1218874876799097e-11
2.790682413876462e-9  1.2867228992489819e-11
2.790683447793395e-9  1.3227193060940747e-11
2.790684481710327e-9  1.2563818672899318e-11
2.79068551562726e-9  1.0787007442527703e-11
2.790686549544193e-9  9.922949214193423e-12
2.790687583461125e-9  1.0394151001870082e-11
2.790688617378058e-9  9.952578966207521e-12
2.7906896512949904e-9  9.777579872185808e-12
2.7906906852119233e-9  9.848416547150333e-12
2.790691719128856e-9  1.023917373526323e-11
2.7906927530457883e-9  9.497019676438461e-12
2.7906937869627213e-9  9.811412461193858e-12
2.7906948208796534e-9  1.1370451999331547e-11
2.7906958547965863e-9  1.2181983958714946e-11
2.790696888713519e-9  1.1983491956231297e-11
2.7906979226304514e-9  1.2144605116859776e-11
2.7906989565473843e-9  1.0892393983754034e-11
2.7906999904643164e-9  9.87695621762571e-12
2.7907010243812493e-9  9.77804458161782e-12
2.7907020582981823e-9  9.668323702559331e-12
2.7907030922151144e-9  9.087681264787206e-12
2.7907041261320473e-9  8.969893291920908e-12
2.7907051600489803e-9  9.203271100323739e-12
2.790706193965913e-9  9.096375051305956e-12
2.7907072278828453e-9  9.148062484184719e-12
2.790708261799778e-9  9.830297637944095e-12
2.7907092957167103e-9  1.0141558385050747e-11
