# QUAX
# https://arxiv.org/abs/2506.11589
# file extracted from the reference using https://apps.automeris.io/wpd/
# mass [eV]; photon coupling [GeV-1]
4.221025e-5; 5.843605e-14
4.221061e-5; 5.027631e-14
4.221174e-5; 4.349759e-14
4.221213e-5; 5.727589e-14
4.221226e-5; 4.977473e-14
4.221320e-5; 5.670448e-14
4.221337e-5; 6.226720e-14
4.221370e-5; 6.929586e-14
4.221402e-5; 4.927815e-14
4.221458e-5; 3.366538e-14
4.221466e-5; 3.926020e-14
4.221546e-5; 4.529775e-14
4.221597e-5; 5.254401e-14
4.221676e-5; 4.964776e-14
4.221733e-5; 5.954524e-14
4.221771e-5; 4.266878e-14
4.221790e-5; 5.274915e-14
4.221835e-5; 4.753114e-14
4.221866e-5; 5.604427e-14
4.221903e-5; 3.667083e-14
4.221922e-5; 4.533420e-14
4.221960e-5; 3.667083e-14
4.222018e-5; 3.905082e-14
4.222019e-5; 3.316285e-14
4.222047e-5; 2.867554e-14
4.222112e-5; 3.248547e-14
4.222135e-5; 6.022050e-14
4.222218e-5; 4.859875e-14
4.222223e-5; 3.721590e-14
4.222304e-5; 4.282442e-14
4.222370e-5; 4.710415e-14
4.222455e-5; 5.329650e-14
4.222473e-5; 4.197421e-14
4.222492e-5; 4.781795e-14
4.222561e-5; 5.902491e-14
4.222620e-5; 5.746764e-14
4.222647e-5; 5.044463e-14
4.222737e-5; 4.186912e-14
4.222838e-5; 3.594891e-14
4.222874e-5; 4.032408e-14
4.222973e-5; 3.400463e-14
4.223104e-5; 2.525543e-14
4.223105e-5; 2.873310e-14
4.223219e-5; 3.332952e-14
4.223244e-5; 3.759093e-14
4.223269e-5; 4.413214e-14
4.223294e-5; 5.129469e-14
4.223324e-5; 5.954524e-14
4.223348e-5; 8.320065e-14
4.223379e-5; 1
